L -66, 125, 43,  -66, 125, 43,  153, 153, 153
L -66, 125, 43,  -50, 108, 43,  153, 153, 153
L -50, 108, 43,  -2, 108, 87,  153, 153, 153
L -2, 108, 87,  11, 79, 43,  153, 153, 153
L 11, 79, 43,  12, 30, 39,  153, 153, 153
L 12, 30, 39,  28, 14, 33,  153, 153, 153
L 28, 14, 33,  27, 0, 33,  153, 153, 153
L 27, 0, 33,  13, -14, 33,  153, 153, 153
L 13, -14, 33,  11, -42, 43,  153, 153, 153
L 11, -42, 43,  6, -50, 43,  153, 153, 153
L 6, -50, 43,  -12, -60, 43,  153, 153, 153
L -12, -60, 43,  -12, -68, 43,  153, 153, 153
L -12, -68, 43,  -4, -78, 43,  153, 153, 153
L -4, -78, 43,  9, -79, 43,  153, 153, 153
L 9, -79, 43,  32, -67, 97,  153, 153, 153
L 32, -67, 97,  62, -67, 43,  153, 153, 153
L 62, -67, 43,  76, -81, 43,  153, 153, 153
L 76, -81, 43,  76, -95, 43,  153, 153, 153
L 76, -95, 43,  60, -111, 43,  153, 153, 153
L 60, -111, 43,  60, -126, 43,  153, 153, 153
L 60, -126, 43,  84, -132, 43,  153, 153, 153
L 84, -132, 43,  93, -137, 44,  153, 153, 153
L 93, -137, 44,  100, -153, 43,  153, 153, 153
L 100, -153, 43,  102, -169, 43,  153, 153, 153
L 102, -169, 43,  144, -163, 43,  153, 153, 153
L 144, -163, 43,  145, -142, 37,  153, 153, 153
L 145, -142, 37,  115, -112, 33,  153, 153, 153
L 115, -112, 33,  128, -99, 33,  153, 153, 153
L 128, -99, 33,  155, -99, 33,  153, 153, 153
L 155, -99, 33,  171, -126, 33,  153, 153, 153
L 171, -126, 33,  157, -142, 33,  153, 153, 153
L 157, -142, 33,  156, -160, 43,  153, 153, 153
L 156, -160, 43,  168, -171, 43,  153, 153, 153
L 168, -171, 43,  171, -188, 43,  153, 153, 153
L 171, -188, 43,  157, -206, 43,  153, 153, 153
L 157, -206, 43,  156, -225, 42,  153, 153, 153
L 156, -225, 42,  173, -236, 33,  153, 153, 153
L 173, -236, 33,  172, -254, 33,  153, 153, 153
L 172, -254, 33,  157, -269, 33,  153, 153, 153
L 157, -269, 33,  133, -269, 33,  153, 153, 153
L 133, -269, 33,  126, -259, 33,  153, 153, 153
L 126, -259, 33,  124, -240, 33,  153, 153, 153
L 124, -240, 33,  144, -227, 33,  153, 153, 153
L 144, -227, 33,  146, -208, 43,  153, 153, 153
L 146, -208, 43,  129, -190, 43,  153, 153, 153
L 129, -190, 43,  112, -189, 43,  153, 153, 153
L 112, -189, 43,  98, -185, 43,  153, 153, 153
L 98, -185, 43,  88, -194, 43,  153, 153, 153
L 88, -194, 43,  84, -212, 94,  153, 153, 153
L 84, -212, 94,  70, -225, 43,  153, 153, 153
L 70, -225, 43,  68, -234, 43,  153, 153, 153
L 68, -234, 43,  61, -245, 43,  153, 153, 153
L 61, -245, 43,  45, -245, 89,  153, 153, 153
L 45, -245, 89,  28, -254, 43,  153, 153, 153
L 28, -254, 43,  0, -259, 43,  153, 153, 153
L 0, -259, 43,  -13, -253, 43,  153, 153, 153
L -13, -253, 43,  -27, -261, 35,  153, 153, 153
L -27, -261, 35,  -21, -283, 123,  153, 153, 153
L -78, -262, 62,  -78, -262, 62,  153, 153, 153
L -78, -262, 62,  -92, -211, 62,  153, 153, 153
L -92, -211, 62,  -80, -211, 55,  153, 153, 153
L -80, -211, 55,  -77, -193, 43,  153, 153, 153
L -77, -193, 43,  -65, -181, 88,  153, 153, 153
L -65, -181, 88,  -45, -178, 43,  153, 153, 153
L -45, -178, 43,  -44, -161, 33,  153, 153, 153
L -44, -161, 33,  -33, -150, 43,  153, 153, 153
L -33, -150, 43,  -19, -147, 33,  153, 153, 153
L -19, -147, 33,  -4, -161, 33,  153, 153, 153
L -4, -161, 33,  -3, -177, 33,  153, 153, 153
L -3, -177, 33,  27, -179, 43,  153, 153, 153
L 27, -179, 43,  52, -187, 43,  153, 153, 153
L 52, -187, 43,  59, -175, 43,  153, 153, 153
L 59, -175, 43,  59, -156, 43,  153, 153, 153
L 59, -156, 43,  57, -152, 43,  153, 153, 153
L 57, -152, 43,  37, -140, 43,  153, 153, 153
L 37, -140, 43,  31, -132, 43,  153, 153, 153
L 31, -132, 43,  26, -114, 43,  153, 153, 153
L 26, -114, 43,  11, -96, 43,  153, 153, 153
L 11, -96, 43,  -15, -93, 43,  153, 153, 153
L -15, -93, 43,  -26, -85, 43,  153, 153, 153
L -26, -85, 43,  -27, -79, 43,  153, 153, 153
L -27, -79, 43,  -26, -45, 43,  153, 153, 153
L -26, -45, 43,  -1, -40, 43,  153, 153, 153
L -1, -40, 43,  -1, -39, 43,  153, 153, 153
L -1, -39, 43,  2, -18, 43,  153, 153, 153
L 2, -18, 43,  -13, 0, 33,  153, 153, 153
L -13, 0, 33,  -13, 14, 33,  153, 153, 153
L -13, 14, 33,  2, 29, 33,  153, 153, 153
L 2, 29, 33,  2, 79, 43,  153, 153, 153
L 2, 79, 43,  -15, 98, 43,  153, 153, 153
L -15, 98, 43,  -62, 99, 43,  153, 153, 153
L -62, 99, 43,  -76, 126, 43,  153, 153, 153
L -76, 126, 43,  -76, 126, 43,  153, 153, 153
L -19, -285, 129,  -19, -285, 129,  153, 153, 153
L -19, -285, 129,  -29, -286, 112,  153, 153, 153
L -29, -286, 112,  -39, -296, 116,  153, 153, 153
L -39, -296, 116,  -45, -298, 37,  153, 153, 153
L -45, -298, 37,  -46, -302, 37,  153, 153, 153
L -46, -302, 37,  -43, -307, 37,  153, 153, 153
L -43, -307, 37,  -45, -332, 52,  153, 153, 153
L -45, -332, 52,  -35, -335, 67,  153, 153, 153
L -35, -335, 67,  -35, -343, 69,  153, 153, 153
L -35, -343, 69,  -39, -343, 58,  153, 153, 153
L -39, -343, 58,  -44, -350, 47,  153, 153, 153
L -44, -350, 47,  -38, -354, 110,  153, 153, 153
L -38, -354, 110,  -35, -367, 94,  153, 153, 153
L -35, -367, 94,  -32, -370, 84,  153, 153, 153
L -32, -370, 84,  -18, -370, 37,  153, 153, 153
L -18, -370, 37,  -18, -382, 37,  153, 153, 153
L -18, -382, 37,  -34, -382, 37,  153, 153, 153
L -34, -382, 37,  -38, -394, 37,  153, 153, 153
L -38, -394, 37,  -47, -394, 37,  153, 153, 153
L -47, -394, 37,  -50, -396, 37,  153, 153, 153
L -50, -396, 37,  -50, -402, 37,  153, 153, 153
L -50, -402, 37,  -47, -413, 37,  153, 153, 153
L -47, -413, 37,  -50, -417, 37,  153, 153, 153
L -50, -417, 37,  -50, -418, 37,  153, 153, 153
L -50, -418, 37,  -48, -423, 37,  153, 153, 153
L -48, -423, 37,  -43, -423, 37,  153, 153, 153
L -43, -423, 37,  -36, -424, 37,  153, 153, 153
L -36, -424, 37,  -31, -420, 26,  153, 153, 153
L -31, -420, 26,  -28, -417, 25,  153, 153, 153
L -28, -417, 25,  -17, -418, 26,  153, 153, 153
L -17, -418, 26,  -7, -426, 25,  153, 153, 153
L -7, -426, 25,  -4, -443, 47,  153, 153, 153
L -4, -443, 47,  -6, -449, 47,  153, 153, 153
L -6, -449, 47,  -15, -456, 47,  153, 153, 153
L -15, -456, 47,  -22, -466, 37,  153, 153, 153
L -22, -466, 37,  -28, -469, 37,  153, 153, 153
L -28, -469, 37,  -26, -484, 40,  153, 153, 153
L -26, -484, 40,  -35, -485, 37,  153, 153, 153
L -35, -485, 37,  -35, -494, 37,  153, 153, 153
L -35, -494, 37,  -37, -501, 37,  153, 153, 153
L -37, -501, 37,  -36, -533, 37,  153, 153, 153
L -36, -533, 37,  -30, -541, 48,  153, 153, 153
L -30, -541, 48,  -24, -560, 47,  153, 153, 153
L -24, -560, 47,  -26, -570, 47,  153, 153, 153
L -26, -570, 47,  -36, -580, 47,  153, 153, 153
L -36, -580, 47,  -29, -589, 37,  153, 153, 153
L -29, -589, 37,  -23, -604, 37,  153, 153, 153
L -23, -604, 37,  -26, -614, 37,  153, 153, 153
L -26, -614, 37,  -30, -628, 37,  153, 153, 153
L -30, -628, 37,  -51, -629, 37,  153, 153, 153
L -51, -629, 37,  -70, -617, 38,  153, 153, 153
L -70, -617, 38,  -70, -617, 38,  153, 153, 153
L -70, -617, 38,  -87, -611, 100,  153, 153, 153
L -87, -611, 100,  -93, -615, 56,  153, 153, 153
L -93, -615, 56,  -111, -611, 37,  153, 153, 153
L -111, -611, 37,  -114, -631, 37,  153, 153, 153
L -114, -631, 37,  -113, -632, 45,  153, 153, 153
L -113, -632, 45,  -98, -628, 38,  153, 153, 153
L -98, -628, 38,  -86, -626, 38,  153, 153, 153
