P 26.8998, 231.9274, 0.1582, 0, 0, 240, 2, Scout_Janomin(BST_Epic)
P 16.753, -260.5837, -27.998, 127, 0, 127, 2, pc
P -363.2993, -467.1426, -41.9667, 127, 0, 127, 2, pc
P -432.6634, -276.9766, -41.9667, 127, 0, 127, 2, pc
P -332.4503, -412.4653, 14.1997, 127, 0, 127, 2, pc
P -173.4499, -313.5611, 0.2, 127, 0, 127, 2, pc
P -7.5808, -275.196, 0.2, 127, 0, 127, 2, pc
P -104.9431, -321.2699, -19.998, 127, 0, 127, 2, pc
P 3, -260, -27.998, 127, 0, 127, 2, pc
P 607.5513, -182.8283, 1.5427, 99, 0, 255, 1, Icy_Rune
P -118.8777, -336.8414, 0.9301, 0, 0, 0, 2, Drop_Down
