P 743.1567, -1168.2177, -197.8045,  0, 0, 0,  3,  Trap
P 306.9454, -875.7983, -206.4046,  0, 0, 0,  3,  Trap
P 300.3480, -1321.6642, -111.8102,  240, 0, 0,  3,  ?#%!
P 327.9311, -1234.8978, -99.8104,  240, 0, 0,  3,  ?#%!
P 319.5045, -1285.6803, -107.6783,  240, 0, 0,  3,  ?#%!
P 707.7200, -667.2970, -169.6620,  0, 0, 0,  3,  Trap
P 903.5710, -903.7690, -223.9050,  0, 0, 0,  3,  Trap
P 1110.8744, -775.4849, -251.7478,  0, 0, 0,  3,  Trap
P 749.8360, -1114.8790, -251.9050,  0, 0, 0,  3,  Trap
P 554.5800, -684.3730, -144.3950,  0, 0, 0,  1,  to_King
P 754.4729, -1069.6583, -194.7790,  0, 0, 0,  3,  Trap
P 742.7571, -1070.2800, -194.7792,  0, 0, 0,  3,  Trap
P 428.0000, -1567.0000, -108.0000,  127, 64, 0,  3,  Waterfall
P 713.3174, -594.8929, -146.7792,  0, 0, 0,  1,  to_Ghoul_Lord
P 705.5295, -1143.8584, -124.3988,  0, 0, 0,  1,  Rod(Spoke_of_Tartons_Wheel_-_Heda)_
