P -792.284, -755.3433, 347.5511, 255, 0, 255, 3, to_quest_hall
P -1197, -1227, 0, 0, 0, 0, 2, Teleport_in
P 487.834, -317.8625, 40.748, 0, 0, 0, 1, Oven
P 413.7309, -182.598, 15.1046, 0, 0, 0, 1, Oven
P 484.7841, -383.7278, 40.75, 0, 0, 0, 1, Loom
P 708.3654, -512.7095, 10.1061, 0, 0, 0, 1, Brew_Barrel
P 762.7957, -319.2891, 40.748, 0, 0, 0, 1, Blacksmith
P 1955.6132, -1442.3459, 374.9497, 125, 0, 255, 3, 1
P 910.7024, -2980.3171, 374.9497, 125, 0, 255, 3, 3
P 1878.1706, -1986.4628, 195.435, 125, 0, 255, 3, 5
P -383.3795, -146.9165, 0.1062, 0, 0, 0, 1, Cryptic_Page
P 559.9871, -361.9854, 166.2062, 240, 0, 0, 2, TRAP
P -2272.4502, -1597.6581, -40.8626, 127, 0, 0, 2, #@%!
P -1974.6472, -2802.1687, -164.831, 127, 0, 0, 2, #@%!
P 602.6572, -1710.9459, 195.435, 125, 0, 255, 3, 2
P 1109.9295, -2297.106, 195.434, 125, 0, 255, 3, 4
P -473.3192, -442.2178, 194.747, 240, 0, 0, 2, Trap
P -1201.3142, -1403.9619, 0.1062, 127, 0, 0, 2, #@%!
P -1850.499, -1689.1731, -59.8624, 127, 0, 0, 2, #@%!
P -1848.8651, -1976.6681, -59.8624, 127, 0, 0, 2, #@%!
P -1605.5179, -1482.1259, 0.1062, 127, 0, 0, 2, @%#!
P -2461.4176, -1416.1603, -40.8626, 0, 0, 0, 2, a_kromzek_spy
P -2267.9274, -1699.2834, -40.8626, 127, 0, 0, 2, #@%!
P 157.6709, -688.8003, 330.5378, 255, 0, 255, 2, Portal
P 151.6911, -792.7444, 257.5609, 255, 0, 252, 2, Portal
P 1083.366, -1948.5742, 11.6476, 255, 0, 255, 2, Portal
